Najdfreee,ترامب
Kathy_b004,DeplatformThePlatform
Badger75,Pleasedeletethosetweets
BrianAllman,PrinciplesMatter
JanBresch,Trumps
Jessica_03_21,JoeBidenIsARacist
KatoJustus4,Pleasedeletethosetweets
YvonneM1675,DeplatformThePlatform
LaurelA17283560,DeplatformThePlatform
monicasloves,Pleasedeletethosetweets
StillReaping,LoriKlausutis
daahmom,Nazi
john_brewer,TwitterFactCheck
EClunie,Pleasedeletethosetweets
justthinkit,YoelResign
jellison_pat,Pleasedeletethosetweets
cahoho1,JackDorseyIsACoward
ValKHeadley,TwitterFactCheck
john_brewer,JACKGATE
Rparkerscience,ObamaGate
chrismartin2727,DeplatformThePlatform
KurtWaggoner,DeplatformThePlatform
RETTIWTGMM,BogusPotus45
AntiTheBand,JusticeForCarolyn
BeerOysters,ThereIsNoVoterFraud
StruxMel,DeplatformThePlatform
dusty1207,FakeNews Violence Police FactCheck
jiminsights,WakeUpAmerica
AntonacciJoshua,DeplatformThePlatform
nan_howse,DeplatformThePlatform
LukeMit70633289,DeplatformThePlatform
NotBuyingIt34,KAG2020
ox_n,TakeTrumpOffTwitter
ChiTownWS58,sad JusticeForCaroline
KatoJustus4,Pleasedeletethosetweets
CSojourner,BlockAllPromotedAds TwitterBlackout TwitterBlackout24 BanTrump BanTrumpFromTwitter
promises4progre,Pleasedeletethosetweets
