retweeter,retweeted,retweet_time,retweeter_age,retweeted_age
Red_DogLL,morningmika,9917,86098,51606
dfal182,SebGorka,273,7335,210
DaveTwaterfield,deanomight1,102,38764,23981
truth_momma,DrRick32855962,332,76365,74625
hohmdog,704Livin,17626,4998,27518
KubeEducation,DonaldJTrumpJr,14067,5034,51975
Karmasaurus,morningmika,10223,58836,51301
kbloomers,_ReaalAmerican_,1772,49901,59604
TvanA93,dbongino,16410,78880,62143
JNinewal,deanomight1,315,43396,23771
khorsed07,escapedmatrix,70920,10699,19330
UnknownWoman,morningmika,10225,78071,51301
fhoward93,SebGorka,3787,6779,83099
hohmdog,cmattseattle,5116,5000,72407
MikeDal23048886,SpringSteps,50066,55537,39404
running2fit,TooBadSoSad10,46742,76560,9049
OscarWilde66,TalbertSwan,4203,31284,67399
MatesiMichele,AvaTaylor2409,50761,74453,1530
2EWO2,jtomka,49268,52366,5814
BellAMerican,DonaldJTrumpJr,14073,56960,51975
running2fit,JrPd7,19194,76563,38005
SuzetteZaki,SebGorka,280,7100,210
rob_pergo,soloyochapin,4263,82651,54003
edzy619,morningmika,9924,25854,51606
dan_bavuso,morningmika,9925,74326,51606
andrewvision09,morningmika,9925,62636,51606
pmurphey47,EricTrump,11041,68021,53571
Cheryl_Sanders1,soloyochapin,4265,77529,54003
JamesQBulkhead,soloyochapin,4265,45830,54003
Surfinbones,almostjingo,831,57741,8945
TrailBum2,sistronk,112,6229,83181
TundraGeo,morningmika,9926,57497,51606
greg_sowell,EricTrump,11042,54550,53571
bradrush14,DonaldJTrumpJr,14076,77038,51975
rkfilm,morningmika,9927,43132,51606
windthin,NathanHRubin,51326,31619,39662
punz_cor,cvpayne,51016,43375,32849
patriot_paula,TheSheilaG2020,553,76451,68397
thelanguidlion,Liz_Wheeler,49082,69143,22683
running2fit,danielgood359,18269,76568,73771
LarryKutcher,SebGorka,285,46258,210
ebszabo,morningmika,10234,58016,51301
Deeds46820608,morningmika,10235,66702,51301
CherokeeOwl,TheSheilaG2020,554,54284,68397
Jyoung4315,almostjingo,835,5823,8945
lulubell2141,EricTrump,11047,60311,53571
jaimepa28163960,morningmika,9931,79013,51606
LNel4real,almostjingo,836,48578,8945
running2fit,lcheweeee,14828,76571,40010
jaimepa28163960,morningmika,10237,79014,51301
tester60367514,cvpayne,51021,53280,32849
ToddWillys,morningmika,10238,34320,51301
Slew19508857,DonaldJTrumpJr,14082,64049,51975
SandraQ21416819,Liz_Wheeler,49087,65020,22683
Cheryl_Sanders1,TalbertSwan,4526,77538,67090
ConnieWyss,EricTrump,11051,54760,53571
BattleBornThom,TheSheilaG2020,559,4455,68397
ayindolmah,almostjingo,840,4284,8945
Jasmine22222456,wool_liz,4071,10257,38896
SkyHawk701,EliseStefanik,59301,50233,29674
running2fit,crisis_homeless,14766,76575,64471
PoohieDog,morningmika,10241,64545,51301
